surname,forename,initials,age_text,honours_awards,date_of_death,date_of_death2,rank,regiment,unitshipsquadron,country,servicenumberExport,cemeterymemorial,gravereference,additionalinformation
KELLEY,,A,,,13/11/1916,,Private,Suffolk Regiment,2nd Bn.,France,'3/9248',"QUEENS CEMETERY, PUISIEUX",A. 1.,
KELLEY,ALAN,A,18,,17/11/1942,,Marine,Royal Marines,,United Kingdom,'PLY/X 108436',MOUNT ZION METHODIST CHAPELYARD,Row CC. Grave 14.,"SON OF GEORGE WILLIAM AND DORIS KELLEY, OF HALIFAX."
KELLEY,ALFRED THEODORE,A T,,,08/12/1942,,Flight Sergeant,Royal Canadian Air Force,15 (R.A.F.) Sqdn.,Denmark,'R/125770',KIRKEBY CHURCHYARD,Grave 277B.,
KELLEY,ALICE MAUD,A M,66,,11/05/1941,,Civilian,Civilian War Dead,,Civilian War Dead,,"SHOREDITCH, METROPOLITAN BOROUGH",,OF 5 PURCELL STREET. DIED AT 5 PURCELL STREET.
KELLEY,ARTHUR,A,,,22/12/1914,,Private,Coldstream Guards,1st Bn.,France,'11087',LE TOURET MEMORIAL,Panels 2 and 3.,"SON OF WILLIAM H. KELLEY, OF 3, BARBY RD., RUGBY."
KELLEY,ARTHUR,A,34,,02/05/1918,,Private,Royal Fusiliers,7th Bn.,France,'228890',MESNIL COMMUNAL CEMETERY EXTENSION,I. B. 13.,"SON OF JOHN AND ELIZABETH KELLEY, OF 15, WHITAKER ST., DONCASTER; HUSBAND OF MAY ROSE KELLEY, OF 13, SOCIETY ST., DONCASTER."
KELLEY,ARTHUR GORDON,A G,19,,27/08/1918,28/08/1918,Rifleman,London Regiment (Queen's Westminster Rifles),1st/16th Bn.,France,'556980',VIS-EN-ARTOIS MEMORIAL,Panel 10.,"SON OF SUSAN ELIZABETH KELLEY, OF HILLSBOROUGH, WAR COPPICE, CATERHAM, SURREY, AND THE LATE EDWARD ARTHUR KELLEY."
KELLEY,ARTHUR JAMES,A J,23,,20/07/1916,,Private,Royal Army Medical Corps,56th  Field Amb.,France,'50188',"LA NEUVILLE BRITISH CEMETERY, CORBIE",I. D. 4.,"SON OF JAMES C. AND MARY KELLEY, OF 23, FOREST ST., BURNLEY, LANCS."
KELLEY,BASIL,B,27,,10/06/1918,,Sergeant,"Australian Infantry, A.I.F.",28th Bn.,France,'988',VILLERS-BRETONNEUX MEMORIAL,,"SON OF WILLIAM AND ADA ELIZABETH KELLEY, OF 161, BRONDESBURY PARK, LONDON, ENGLAND. BORN AT WILLESDEN, LONDON, ENGLAND."
KELLEY,CHARLES ADOLPHUS,C A,43,,05/04/1918,,Ship's Cook,Mercantile Marine,"S.S. ""Cyrene"" (Sunderland)",United Kingdom,,TOWER HILL MEMORIAL,,"HUSBAND OF CATHERINE LEARMOUTH KELLEY (NEE WILSON), OF 3, GREENLEAF ST., LIVERPOOL. BORN AT DEMERARA."
KELLEY,DAVID,D,21,,29/12/1943,,Flying Officer,Royal Air Force Volunteer Reserve,,United Kingdom,'151206',STREATHAM PARK CEMETERY,Square 8. Grave 35227.,"SON OF ROSINA SARAH KELLEY, OF BRIXTON, LONDON."
KELLEY,DAVID,D,32,,06/05/1941,,Civilian,Civilian War Dead,,Civilian War Dead,,"PAISLEY, BURGH OF, SCOTLAND",,"F.A.P. MEMBER. SON OF MICHAEL AND AGNES KELLEY, OF 9 BRIDGE OF WEIR ROAD, LINWOOD; HUSBAND OF MARGARET KELLEY, OF 23 CASTLE STREET. DIED AT WOODSIDE F.A.P."
KELLEY,DAVID AUSTIN,D A,22,,03/06/1944,,Pilot Officer,Royal Canadian Air Force,405 Sqdn.,France,'C/88471',LA BOISSIERE-ECOLE COMMUNAL CEMETERY,,"SON OF JAMES B. KELLEY AND EDITH KELLEY, OF VICTORIA, BRITISH COLUMBIA. CANADA."
KELLEY,DOUGLAS,D,33,,22/01/1942,,Private,Australian Infantry,A.I.F. 2/29 Bn.,Singapore,'VX46632',SINGAPORE MEMORIAL,Column 130.,"SON OF JOSEPH AND ELLEN HAUGHTON KELLEY, OF MACARTHUR, VICTORIA, AUSTRALIA."
KELLEY,DOUGLAS,D,21,,03/03/1941,,Gunner,Royal Artillery,"346 Bty., 36 Searchlight Regt.",United Kingdom,'1538179',LIVERPOOL (ANFIELD) CEMETERY,Sec. 20. C. of E. Grave 1218.,"SON OF FREDERICK GEORGE AND EMILY VICTORIA KELLEY, OF LIVERPOOL."
KELLEY,,E J M,,,25/08/1918,,Lance Corporal,London Regiment (Prince of Wales' Own Civil Service Rifles),15th Bn.,France,'534656',GOMIECOURT SOUTH CEMETERY,II. E. 7.,"HUSBAND OF J. I. KELLY, OF 47, CHATSWORTH ST., DERBY."
