FIPS,StateName,CountyName,PopEst2004
1000,Alabama,Alabama,4530729
2000,Alaska,Alaska,659286
4000,Arizona,Arizona,5652404
5000,Arkansas,Arkansas,2749686
6000,California,California,35574576
8000,Colorado,Colorado,4575013
9000,Connecticut,Connecticut,3496094
10000,Delaware,Delaware,830803
11000,District of Columbia,District of Columbia,567754
12000,Florida,Florida,17415318
13000,Georgia,Georgia,8769252
15000,Hawaii,Hawaii,1273569
16000,Idaho,Idaho,1391802
17000,Illinois,Illinois,12589773
18000,Indiana,Indiana,6233007
19000,Iowa,Iowa,2953635
20000,Kansas,Kansas,2734373
21000,Kentucky,Kentucky,4146101
22000,Louisiana,Louisiana,4552238
23000,Maine,Maine,1313688
24000,Maryland,Maryland,5546935
25000,Massachusetts,Massachusetts,6412281
26000,Michigan,Michigan,10055315
27000,Minnesota,Minnesota,5087713
28000,Mississippi,Mississippi,2889010
29000,Missouri,Missouri,5747741
30000,Montana,Montana,930009
31000,Nebraska,Nebraska,1749370
32000,Nevada,Nevada,2346222
33000,New Hampshire,New Hampshire,1290121
34000,New Jersey,New Jersey,8634561
35000,New Mexico,New Mexico,1903808
36000,New York,New York,19171567
37000,North Carolina,North Carolina,8553152
38000,North Dakota,North Dakota,644705
39000,Ohio,Ohio,11452251
40000,Oklahoma,Oklahoma,3525233
41000,Oregon,Oregon,3569463
42000,Pennsylvania,Pennsylvania,12410722
44000,Rhode Island,Rhode Island,1074579
45000,South Carolina,South Carolina,4210921
46000,South Dakota,South Dakota,770396
47000,Tennessee,Tennessee,5910809
48000,Texas,Texas,22394023
49000,Utah,Utah,2401580
50000,Vermont,Vermont,619920
51000,Virginia,Virginia,7475575
53000,Washington,Washington,6178645
54000,West Virginia,West Virginia,1816438
55000,Wisconsin,Wisconsin,5514026
56000,Wyoming,Wyoming,509106
1001,Alabama,Autauga County,48366
4001,Arizona,Apache County,68161
5001,Arkansas,Arkansas County,19967
6001,California,Alameda County,1445721
8001,Colorado,Adams County,384809
9001,Connecticut,Fairfield County,897472
10001,Delaware,Kent County,139342
11001,District of Columbia,District of Columbia,567754
12001,Florida,Alachua County,229867
13001,Georgia,Appling County,17740
15001,Hawaii,Hawaii County,162852
16001,Idaho,Ada County,334926
17001,Illinois,Adams County,66818
18001,Indiana,Adams County,33822
19001,Iowa,Adair County,8019
20001,Kansas,Allen County,13923
21001,Kentucky,Adair County,17994
22001,Louisiana,Acadia Parish,59223
23001,Maine,Androscoggin County,106867
24001,Maryland,Allegany County,74408
25001,Massachusetts,Barnstable County,224264
26001,Michigan,Alcona County,11459
27001,Minnesota,Aitkin County,16028
28001,Mississippi,Adams County,32785
29001,Missouri,Adair County,24988
30001,Montana,Beaverhead County,8908
31001,Nebraska,Adams County,30740
32001,Nevada,Churchill County,24226
33001,New Hampshire,Belknap County,60170
